id,label,name,measure,boundary_ids_json
0,0,Fe,5.327890625000001,"[0, 1]"
1,1,Fe3O4 (anh.),2.2687500000000003,"[0, 2, 4]"
2,2,"[(Fe2O3)0.5(s,alpha)]",13.929257812500003,"[2, 3, 6, 7, 8]"
3,3,Fe$+2.L1(4).z+2,6.241953125000001,"[1, 4, 5, 6, 9]"
4,1,Fe3O4 (anh.),3.906250000000001e-05,"[3, 5]"
5,4,Fe$+6.OH8.z-2,6.757031250000002,[7]
6,5,Fe$+3.L1.z+3,0.4750781250000001,"[8, 9]"
