id,labels_json,btype,boundary_ids_json,is_domain_edge,geometry_json
0,"[0, 1, 3]",junction,[],False,"{""E_V"": -0.5406250000000001, ""pH"": 7.9}"
1,"[1, 2, 3]",junction,[],False,"{""E_V"": -0.11249999999999996, ""pH"": 6.1}"
2,"[1, 2, 3]",junction,[],False,"{""E_V"": -0.10937499999999997, ""pH"": 6.0875}"
3,"[2, 3, 5]",junction,[],False,"{""E_V"": 0.8375000000000001, ""pH"": 0.8250000000000001}"
4,"[0, 1]",junction,[],True,"{""E_V"": -0.9031250000000001, ""pH"": 14.0}"
5,"[0, 3]",junction,[],True,"{""E_V"": -0.5406250000000001, ""pH"": 0.0}"
6,"[1, 2]",junction,[],True,"{""E_V"": -0.578125, ""pH"": 14.0}"
7,"[2, 4]",junction,[],True,"{""E_V"": 0.34687500000000004, ""pH"": 14.0}"
8,"[2, 4]",junction,[],True,"{""E_V"": 1.5, ""pH"": 2.3125}"
9,"[2, 5]",junction,[],True,"{""E_V"": 1.5, ""pH"": 0.7000000000000001}"
10,"[3, 5]",junction,[],True,"{""E_V"": 0.828125, ""pH"": 0.0}"
