id,label,name,measure,boundary_ids_json
0,0,Fe,5.783859374999999,"[0, 1]"
1,1,Fe3O4 (anh.),2.6125546874999994,"[0, 2, 3]"
2,2,"[(Fe2O3)0.5(s,alpha)]",14.755859374999996,"[2, 4, 5, 6]"
3,3,Fe$+2.z+2,4.786109374999999,"[1, 3, 4, 7]"
4,4,Fe$+6.OH8.z-2,6.7570859374999985,[5]
5,5,Fe$+3.z+3,0.3045312499999999,"[6, 7]"
